
Slow Cooker Taco Soup with Ranch Dressing Mix,https://www.allrecipes.com/recipe/164555/slow-cooker-taco-soup-with-ranch-dressing-mix/,soups-stews-and-chili,298.9,32.2,15.5,13.0
Apricot Lentil Soup,https://www.allrecipes.com/recipe/12979/apricot-lentil-soup/,soups-stews-and-chili,263.2,37.2,13.2,7.4
Gramma Brown's Corn Chowder,https://www.allrecipes.com/recipe/13029/gramma-browns-corn-chowder/,soups-stews-and-chili,327.2,41.0,10.7,14.6
Emily's Famous Sloppy Joes,https://www.allrecipes.com/recipe/16238/emilys-famous-sloppy-joes/,main-dish,328.3,34.2,19.4,12.6
Easy Fried Eggplant,https://www.allrecipes.com/recipe/22448/easy-fried-eggplant/,fruits-and-vegetables,357.1,45.8,13.0,13.8
No Bake Bars,https://www.allrecipes.com/recipe/173302/no-bake-bars/,trusted-brands-recipes-and-tips,234.9,35.8,13.5,9.6
Chili con Carne II,https://www.allrecipes.com/recipe/22403/chili-con-carne-ii/,soups-stews-and-chili,397.0,32.5,23.9,19.3
Mexican Pasta,https://www.allrecipes.com/recipe/21518/mexican-pasta/,world-cuisine,357.7,59.5,10.3,9.4
Fast English Muffin Pizzas,https://www.allrecipes.com/recipe/86649/fast-english-muffin-pizzas/,main-dish,327.4,30.2,20.5,13.5
Classic Minestrone,https://www.allrecipes.com/recipe/13163/classic-minestrone/,soups-stews-and-chili,320.0,44.5,12.0,12.0
Spaghetti Pizza I,https://www.allrecipes.com/recipe/23181/spaghetti-pizza-i/,main-dish,350.9,34.2,18.0,15.3
Ruby Drive Sloppy Joes,https://www.allrecipes.com/recipe/189123/ruby-drive-sloppy-joes/,main-dish,382.3,46.2,17.4,15.2
Chicken and Dumplings IV,https://www.allrecipes.com/recipe/26374/chicken-and-dumplings-iv/,soups-stews-and-chili,361.5,33.9,32.1,10.1
Tortellini Bacon Broccoli Salad,https://www.allrecipes.com/recipe/213230/tortellini-bacon-broccoli-salad/,salad,348.8,33.6,13.9,18.2
Sun-Dried Tomato Basil Orzo,https://www.allrecipes.com/recipe/142242/sun-dried-tomato-basil-orzo/,salad,254.8,38.8,10.0,6.9
Vegetarian Tortilla Stew,https://www.allrecipes.com/recipe/73139/vegetarian-tortilla-stew/,soups-stews-and-chili,347.0,42.5,16.4,13.9
